metric_code,mean_abs_rank_change,mean_abs_mom_pct,mean_cv_pct,move_to_spread_ratio,rank_churn_pct_of_field,label,rank_claims
LPG_REFILL_5KG_NGN,6.9151,11.7628,5.5555,2.1173,18.6893,LPG 5kg refill (NGN),UNSAFE
LPG_REFILL_12_5KG_NGN,7.0174,10.9688,5.308,2.0665,18.9659,LPG 12.5kg refill (NGN),UNSAFE
TRANSPORT_AIR_NGN_PER_JOURNEY,3.1486,9.3723,6.6423,1.411,8.5099,Air (NGN),UNSAFE
PETROL_PRICE_NGN_PER_LITRE,7.7664,7.2457,6.1416,1.1798,20.9903,Petrol (NGN/l),UNSAFE
DIESEL_PRICE_NGN_PER_LITRE,5.5019,10.8267,9.719,1.114,14.8701,Diesel (NGN/l),UNSAFE
TRANSPORT_BUS_INTERCITY_NGN_PER_JOURNEY,2.027,3.0803,11.6361,0.2647,5.4785,Bus intercity (NGN),SAFE
TRANSPORT_OKADA_NGN_PER_JOURNEY,1.9112,4.8192,18.7839,0.2566,5.1654,Okada (NGN),SAFE
TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,2.1216,4.2454,17.5109,0.2424,5.7341,Bus intracity (NGN),SAFE
TRANSPORT_WATER_NGN_PER_JOURNEY,0.6409,2.9497,67.7982,0.0435,1.7322,Water transport (NGN),SAFE
