date,jurisdiction,metric_code,value,in_primary_window
2025-03-01,Sokoto,CPI_ALL_ITEMS_MOM_PCT,-8.662261904761905,True
2025-03-01,Taraba,CPI_ALL_ITEMS_MOM_PCT,1.1477109515260366,True
2025-03-01,Yobe,CPI_ALL_ITEMS_MOM_PCT,3.4727564102563946,True
2025-03-01,Zamfara,CPI_ALL_ITEMS_MOM_PCT,3.8520495150587095,True
2025-04-01,Abia,CPI_ALL_ITEMS_MOM_PCT,2.43147495196159,True
2025-04-01,Abuja,CPI_ALL_ITEMS_MOM_PCT,9.825087327321128,True
2025-04-01,Adamawa,CPI_ALL_ITEMS_MOM_PCT,3.4574300230591177,True
2025-04-01,Akwa Ibom,CPI_ALL_ITEMS_MOM_PCT,6.400849199525666,True
2025-04-01,Anambra,CPI_ALL_ITEMS_MOM_PCT,0.5157509768136919,True
2025-04-01,Bauchi,CPI_ALL_ITEMS_MOM_PCT,4.877749487751188,True
2025-04-01,Bayelsa,CPI_ALL_ITEMS_MOM_PCT,12.19452956818698,True
2025-04-01,Benue,CPI_ALL_ITEMS_MOM_PCT,12.79991197568144,True
2025-04-01,Borno,CPI_ALL_ITEMS_MOM_PCT,4.045353879662343,True
2025-04-01,Cross River,CPI_ALL_ITEMS_MOM_PCT,3.8822365923074926,True
2025-04-01,Delta,CPI_ALL_ITEMS_MOM_PCT,10.70864942344221,True
2025-04-01,Ebonyi,CPI_ALL_ITEMS_MOM_PCT,-1.3389644820467623,True
2025-04-01,Edo,CPI_ALL_ITEMS_MOM_PCT,-1.290593801036806,True
2025-04-01,Ekiti,CPI_ALL_ITEMS_MOM_PCT,11.04932122517721,True
2025-04-01,Enugu,CPI_ALL_ITEMS_MOM_PCT,12.328134310173963,True
2025-04-01,Gombe,CPI_ALL_ITEMS_MOM_PCT,9.037876976584329,True
2025-04-01,Imo,CPI_ALL_ITEMS_MOM_PCT,-3.429051536931283,True
2025-04-01,Jigawa,CPI_ALL_ITEMS_MOM_PCT,0.2589154360913142,True
2025-04-01,Kaduna,CPI_ALL_ITEMS_MOM_PCT,-2.431501143564219,True
2025-04-01,Kano,CPI_ALL_ITEMS_MOM_PCT,-1.3936682172675177,True
2025-04-01,Katsina,CPI_ALL_ITEMS_MOM_PCT,-3.016554570357002,True
2025-04-01,Kebbi,CPI_ALL_ITEMS_MOM_PCT,5.366687283771341,True
2025-04-01,Kogi,CPI_ALL_ITEMS_MOM_PCT,5.5096390532287245,True
2025-04-01,Kwara,CPI_ALL_ITEMS_MOM_PCT,3.390688955985937,True
2025-04-01,Lagos,CPI_ALL_ITEMS_MOM_PCT,-0.5352444139085151,True
2025-04-01,Nasarawa,CPI_ALL_ITEMS_MOM_PCT,16.015516436427532,True
2025-04-01,Niger,CPI_ALL_ITEMS_MOM_PCT,14.73775835857336,True
2025-04-01,Ogun,CPI_ALL_ITEMS_MOM_PCT,-3.2335198266510474,True
2025-04-01,Ondo,CPI_ALL_ITEMS_MOM_PCT,-3.443203030057674,True
2025-04-01,Osun,CPI_ALL_ITEMS_MOM_PCT,-4.537472651423599,True
2025-04-01,Oyo,CPI_ALL_ITEMS_MOM_PCT,-6.447327822625965,True
2025-04-01,Plateau,CPI_ALL_ITEMS_MOM_PCT,1.7730312592476167,True
2025-04-01,Rivers,CPI_ALL_ITEMS_MOM_PCT,-0.7158317639946006,True
2025-04-01,Sokoto,CPI_ALL_ITEMS_MOM_PCT,16.262399566993764,True
2025-04-01,Taraba,CPI_ALL_ITEMS_MOM_PCT,2.516020353175705,True
2025-04-01,Yobe,CPI_ALL_ITEMS_MOM_PCT,9.87332080394259,True
2025-04-01,Zamfara,CPI_ALL_ITEMS_MOM_PCT,4.64353233451223,True
2025-05-01,Abia,CPI_ALL_ITEMS_MOM_PCT,-0.6911599602267984,True
2025-05-01,Abuja,CPI_ALL_ITEMS_MOM_PCT,-0.0556385202803966,True
2025-05-01,Adamawa,CPI_ALL_ITEMS_MOM_PCT,-0.0299696175884491,True
2025-05-01,Akwa Ibom,CPI_ALL_ITEMS_MOM_PCT,2.888711408094281,True
2025-05-01,Anambra,CPI_ALL_ITEMS_MOM_PCT,1.7970262732580409,True
2025-05-01,Bauchi,CPI_ALL_ITEMS_MOM_PCT,4.851079307040166,True
2025-05-01,Bayelsa,CPI_ALL_ITEMS_MOM_PCT,9.106355648986693,True
2025-05-01,Benue,CPI_ALL_ITEMS_MOM_PCT,3.1281055518786616,True
2025-05-01,Borno,CPI_ALL_ITEMS_MOM_PCT,4.424670993541696,True
