metric_code,label,first_month,first_median,last_month,last_median,abs_change,pct_change,trough_month,trough,peak_month,peak,trough_to_last_pct
DIESEL_PRICE_NGN_PER_LITRE,Diesel (NGN/l),2025-02-01,1450.0,2026-04-01,2472.04,1022.04,70.49,2025-09-01,1266.33,2026-04-01,2472.04,95.21
TRANSPORT_OKADA_NGN_PER_JOURNEY,Okada (NGN),2025-02-01,580.0,2026-04-01,977.17,397.17,68.48,2025-02-01,580.0,2026-04-01,977.17,68.48
TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,Bus intracity (NGN),2025-02-01,950.0,2026-04-01,1397.23,447.23,47.08,2025-02-01,950.0,2026-04-01,1397.23,47.08
TRANSPORT_WATER_NGN_PER_JOURNEY,Water transport (NGN),2025-02-01,1150.0,2026-04-01,1665.09,515.09,44.79,2025-02-01,1150.0,2026-04-01,1665.09,44.79
PETROL_PRICE_NGN_PER_LITRE,Petrol (NGN/l),2025-02-01,1166.0,2026-04-01,1547.72,381.72,32.74,2025-09-01,962.69,2026-04-01,1547.72,60.77
TRANSPORT_BUS_INTERCITY_NGN_PER_JOURNEY,Bus intercity (NGN),2025-02-01,7477.78,2026-04-01,9782.82,2305.04,30.83,2025-02-01,7477.78,2026-04-01,9782.82,30.83
LPG_REFILL_12_5KG_NGN,LPG 12.5kg refill (NGN),2025-02-01,17550.0,2026-04-01,22373.8,4823.8,27.49,2025-12-01,13420.26,2026-04-01,22373.8,66.72
TRANSPORT_AIR_NGN_PER_JOURNEY,Air (NGN),2025-02-01,127000.0,2026-04-01,157300.65,30300.65,23.86,2025-02-01,127000.0,2025-12-01,235143.32,23.86
LPG_REFILL_5KG_NGN,LPG 5kg refill (NGN),2025-02-01,7102.86,2026-04-01,8775.59,1672.73,23.55,2025-12-01,5368.11,2026-04-01,8775.59,63.48
