filename,relative_path,size_bytes,file_type,basic_integrity_check,status,notes
PMS_Report_AUG_SEPT_2025.zip,nbs/petrol/PMS_Report_AUG_SEPT_2025.zip,2011234,ZIP,"ZIP listed OK (4 members), CRC test passed",PASS,members: PMS Report AUGUST 2025.pdf | PMS Report SEPTEMBER 2025.pdf | PMS_SEPTEMBER_2025.xlsx | PMS AUGUST 2025.xlsx
PMS_Report_April_2025.pdf,nbs/petrol/PMS_Report_April_2025.pdf,475816,PDF,"PDF header OK, %%EOF present",PASS,
PMS_Report_FEBRUARY_2026.zip,nbs/petrol/PMS_Report_FEBRUARY_2026.zip,1240734,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: PMS_Report_FEBRUARY_2026.pdf | PMS_FEBRUARY_ 2026.xlsx
PMS_Report_FEB_2025.pdf,nbs/petrol/PMS_Report_FEB_2025.pdf,1086863,PDF,"PDF header OK, %%EOF present",PASS,
PMS_Report_JANUARY_2026.zip,nbs/petrol/PMS_Report_JANUARY_2026.zip,741936,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: PMS Report JANUARY 2026.pdf | PMS_JANUARY_2025.xlsx
PMS_Report_JAN_2025.pdf,nbs/petrol/PMS_Report_JAN_2025.pdf,1087321,PDF,"PDF header OK, %%EOF present",PASS,
PMS_Report_JULY_2025.zip,nbs/petrol/PMS_Report_JULY_2025.zip,674365,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: PMS_Report_JULY_2025.pdf | Fuel_Report_July_2025.xlsx
PMS_Report_JUNE_2025.pdf,nbs/petrol/PMS_Report_JUNE_2025.pdf,475966,PDF,"PDF header OK, %%EOF present",PASS,
PMS_Report_June_2025.xlsx,nbs/petrol/PMS_Report_June_2025.xlsx,15162,XLSX,"OOXML container opened read-only, 12 parts",PASS,
PMS_Report_MARCH_2026.zip,nbs/petrol/PMS_Report_MARCH_2026.zip,748466,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: PMS Report MARCH 2026.pdf | PMS_March_ 2026.xlsx
PMS_Report_MAY_2025.pdf,nbs/petrol/PMS_Report_MAY_2025.pdf,476649,PDF,"PDF header OK, %%EOF present",PASS,
PMS_Report_MAY_2026.zip,nbs/petrol/PMS_Report_MAY_2026.zip,742369,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: PMS Report MAY 2026.pdf | Fuel_MAY_2026.xlsx
PMS_Report_March_2025.pdf,nbs/petrol/PMS_Report_March_2025.pdf,477298,PDF,"PDF header OK, %%EOF present",PASS,
AGO_APRIL_2026.zip,nbs/diesel/AGO_APRIL_2026.zip,741968,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: AGO report - APRIL 2026.pdf | Diesel APRIL 2026.xlsx
AGO_DECEMBER_2025.zip,nbs/diesel/AGO_DECEMBER_2025.zip,1175655,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: DIESEL_DECEMBER_2025.xlsx | AGO_DECEMBER_2025.pdf
AGO_FEB_2025.xlsx,nbs/diesel/AGO_FEB_2025.xlsx,14098,XLSX,"OOXML container opened read-only, 10 parts",PASS,
AGO_JAN_2025.xlsx,nbs/diesel/AGO_JAN_2025.xlsx,14370,XLSX,"OOXML container opened read-only, 10 parts",PASS,
AGO_REPORT_NOV_2025.zip,nbs/diesel/AGO_REPORT_NOV_2025.zip,665872,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: DIESEL_NOV_2025.xlsx | AGO_Report_NOVEMBER_2025.pdf
AGO_Report_AUGUST_SEPTEMBER_2025.zip,nbs/diesel/AGO_Report_AUGUST_SEPTEMBER_2025.zip,1983227,ZIP,"ZIP listed OK (4 members), CRC test passed",PASS,members: AGO_Report_SEPTEMBER_2025.pdf | AGO_Report_AUGUST_2025.pdf | DIESEL_SEPTEMBER_2025.xlsx | DIESEL_AUGUST_2025.xlsx
AGO_Report_April_2025.pdf,nbs/diesel/AGO_Report_April_2025.pdf,477125,PDF,"PDF header OK, %%EOF present",PASS,
AGO_Report_FEBRUARY_2025.pdf,nbs/diesel/AGO_Report_FEBRUARY_2025.pdf,1018458,PDF,"PDF header OK, %%EOF present",PASS,
AGO_Report_FEBRUARY_2026.zip,nbs/diesel/AGO_Report_FEBRUARY_2026.zip,1233554,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: AGO_Report_FEBRUARY_2026.pdf | AGO_FEBRUARY_2026.xlsx
AGO_Report_JANUARY_2025.pdf,nbs/diesel/AGO_Report_JANUARY_2025.pdf,1017275,PDF,"PDF header OK, %%EOF present",PASS,
AGO_Report_JANUARY_2026.zip,nbs/diesel/AGO_Report_JANUARY_2026.zip,752362,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: AGO_Report_JANUARY_2026.pdf | AGO JANUARY 2026.xlsx
AGO_Report_JULY_2025.zip,nbs/diesel/AGO_Report_JULY_2025.zip,668987,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: AGO_Report_JULY_2025.pdf | Diesel_Report_July_2025.xlsx
AGO_Report_JUNE_2025.pdf,nbs/diesel/AGO_Report_JUNE_2025.pdf,477626,PDF,"PDF header OK, %%EOF present",PASS,
AGO_Report_MARCH_2025.pdf,nbs/diesel/AGO_Report_MARCH_2025.pdf,478123,PDF,"PDF header OK, %%EOF present",PASS,
AGO_Report_MAY_2025.pdf,nbs/diesel/AGO_Report_MAY_2025.pdf,477565,PDF,"PDF header OK, %%EOF present",PASS,
AGO_Report_MAY_2026.zip,nbs/diesel/AGO_Report_MAY_2026.zip,737128,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: AGO_Report_MAY_2026.pdf | DIESEL_MAY_2026.xlsx
AGO_Report_March_2026.zip,nbs/diesel/AGO_Report_March_2026.zip,742748,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: AGO_Report_March_2026.pdf | AGO_MARCH_2026.xlsx
AGO_Report_OCTOBER_2025.zip,nbs/diesel/AGO_Report_OCTOBER_2025.zip,670472,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: AGO_Report_OCTOBER_2025.pdf | AGO_OCT_2025.xlsx
Diesel Report March 2025.xlsx,nbs/diesel/Diesel Report March 2025.xlsx,14287,XLSX,"OOXML container opened read-only, 11 parts",PASS,
Diesel_Report_April_2025.xlsx,nbs/diesel/Diesel_Report_April_2025.xlsx,14619,XLSX,"OOXML container opened read-only, 10 parts",PASS,
Diesel_Report_June_2025.xlsx,nbs/diesel/Diesel_Report_June_2025.xlsx,14664,XLSX,"OOXML container opened read-only, 10 parts",PASS,
Diesel_Report_May_2025.xlsx,nbs/diesel/Diesel_Report_May_2025.xlsx,14857,XLSX,"OOXML container opened read-only, 10 parts",PASS,
GAS_PRICE_WATCH_APRIL_2025.xlsx,nbs/cooking_gas/GAS_PRICE_WATCH_APRIL_2025.xlsx,20155,XLSX,"OOXML container opened read-only, 14 parts",PASS,
GAS_PRICE_WATCH_FEB_2025.xlsx,nbs/cooking_gas/GAS_PRICE_WATCH_FEB_2025.xlsx,19218,XLSX,"OOXML container opened read-only, 13 parts",PASS,
GAS_PRICE_WATCH_JAN_2025.xlsx,nbs/cooking_gas/GAS_PRICE_WATCH_JAN_2025.xlsx,19675,XLSX,"OOXML container opened read-only, 13 parts",PASS,
GAS_PRICE_WATCH_MARCH_2025.xlsx,nbs/cooking_gas/GAS_PRICE_WATCH_MARCH_2025.xlsx,20256,XLSX,"OOXML container opened read-only, 13 parts",PASS,
GAS_PRICE_WATCH_May_2025.xlsx,nbs/cooking_gas/GAS_PRICE_WATCH_May_2025.xlsx,20665,XLSX,"OOXML container opened read-only, 13 parts",PASS,
GAS_PRIC_WATCH_JUNE_2025.xlsx,nbs/cooking_gas/GAS_PRIC_WATCH_JUNE_2025.xlsx,20360,XLSX,"OOXML container opened read-only, 13 parts",PASS,
LPG_AUGUST_2025.zip,nbs/cooking_gas/LPG_AUGUST_2025.zip,3159596,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: LPG_AUGUST_2025.pdf | GAS_PRICE_WATCH_AUGUST_2025___.xlsx
