filename,relative_path,size_bytes,file_type,basic_integrity_check,status,notes
BEDC_MYTO_MAY_2026.pdf,nerc/electricity_myto/BEDC_MYTO_MAY_2026.pdf,7819112,PDF,"PDF header OK, %%EOF present",PASS,
BEDC_May_2025_046.pdf,nerc/electricity_myto/BEDC_May_2025_046.pdf,3770663,PDF,"PDF header OK, %%EOF present",PASS,
BEDC_NOV_2025_124.pdf,nerc/electricity_myto/BEDC_NOV_2025_124.pdf,5228937,PDF,"PDF header OK, %%EOF present",PASS,
BEDC_OCT_2025_110.pdf,nerc/electricity_myto/BEDC_OCT_2025_110.pdf,4027041,PDF,"PDF header OK, %%EOF present",PASS,
BEDC_SEPT_2025_097.pdf,nerc/electricity_myto/BEDC_SEPT_2025_097.pdf,7922224,PDF,"PDF header OK, %%EOF present",PASS,
Benin-june-2025.pdf,nerc/electricity_myto/Benin-june-2025.pdf,750805,PDF,"PDF header OK, %%EOF present",PASS,
EEDC-MYTO-APR-2025.pdf,nerc/electricity_myto/EEDC-MYTO-APR-2025.pdf,740565,PDF,"PDF header OK, %%EOF present",PASS,
EEDC-MYTO-JAN-2025.pdf,nerc/electricity_myto/EEDC-MYTO-JAN-2025.pdf,2114694,PDF,"PDF header OK, %%EOF present",PASS,
EEDC_AUG_2025_MYTO.pdf,nerc/electricity_myto/EEDC_AUG_2025_MYTO.pdf,6420008,PDF,"PDF header OK, %%EOF present",PASS,
EEDC_February_2025_006.pdf,nerc/electricity_myto/EEDC_February_2025_006.pdf,2399945,PDF,"PDF header OK, %%EOF present",PASS,
EEDC_July_2025_062.pdf,nerc/electricity_myto/EEDC_July_2025_062.pdf,1018274,PDF,"PDF header OK, %%EOF present",PASS,
EEDC_MYTO_APR_2026.pdf,nerc/electricity_myto/EEDC_MYTO_APR_2026.pdf,6907557,PDF,"PDF header OK, %%EOF present",PASS,
EEDC_MYTO_December_2025.pdf,nerc/electricity_myto/EEDC_MYTO_December_2025.pdf,6688331,PDF,"PDF header OK, %%EOF present",PASS,
EEDC_MYTO_FEB_2026.pdf,nerc/electricity_myto/EEDC_MYTO_FEB_2026.pdf,7069960,PDF,"PDF header OK, %%EOF present",PASS,
EEDC_MYTO_JAN_2026.pdf,nerc/electricity_myto/EEDC_MYTO_JAN_2026.pdf,6672923,PDF,"PDF header OK, %%EOF present",PASS,
EEDC_MYTO_MAR_2026.pdf,nerc/electricity_myto/EEDC_MYTO_MAR_2026.pdf,6711597,PDF,"PDF header OK, %%EOF present",PASS,
EEDC_MYTO_MAY_2026.pdf,nerc/electricity_myto/EEDC_MYTO_MAY_2026.pdf,6705369,PDF,"PDF header OK, %%EOF present",PASS,
EEDC_May_2025_048.pdf,nerc/electricity_myto/EEDC_May_2025_048.pdf,1891857,PDF,"PDF header OK, %%EOF present",PASS,
EEDC_NOV_2025_126.pdf,nerc/electricity_myto/EEDC_NOV_2025_126.pdf,6952592,PDF,"PDF header OK, %%EOF present",PASS,
EEDC_OCT_2025_112.pdf,nerc/electricity_myto/EEDC_OCT_2025_112.pdf,6874850,PDF,"PDF header OK, %%EOF present",PASS,
EEDC_SEPT_2025_099.pdf,nerc/electricity_myto/EEDC_SEPT_2025_099.pdf,6772383,PDF,"PDF header OK, %%EOF present",PASS,
EKEDC-MYTO-APRIL-2025.pdf,nerc/electricity_myto/EKEDC-MYTO-APRIL-2025.pdf,6005864,PDF,"PDF header OK, %%EOF present",PASS,
EKEDP-MYTO-JAN-2025.pdf,nerc/electricity_myto/EKEDP-MYTO-JAN-2025.pdf,2390516,PDF,"PDF header OK, %%EOF present",PASS,
EKEDP_AUG_2025_MYTO.pdf,nerc/electricity_myto/EKEDP_AUG_2025_MYTO.pdf,10563587,PDF,"PDF header OK, %%EOF present",PASS,
EKEDP_February_2025_005.pdf,nerc/electricity_myto/EKEDP_February_2025_005.pdf,2703243,PDF,"PDF header OK, %%EOF present",PASS,
EKEDP_July_2025_061.pdf,nerc/electricity_myto/EKEDP_July_2025_061.pdf,1080148,PDF,"PDF header OK, %%EOF present",PASS,
EKEDP_MYTO_APR_2026.pdf,nerc/electricity_myto/EKEDP_MYTO_APR_2026.pdf,4481534,PDF,"PDF header OK, %%EOF present",PASS,
EKEDP_MYTO_FEB_2026.pdf,nerc/electricity_myto/EKEDP_MYTO_FEB_2026.pdf,12034960,PDF,"PDF header OK, %%EOF present",PASS,
EKEDP_MYTO_JAN_2026.pdf,nerc/electricity_myto/EKEDP_MYTO_JAN_2026.pdf,11471771,PDF,"PDF header OK, %%EOF present",PASS,
EKEDP_MYTO_MAR_2026.pdf,nerc/electricity_myto/EKEDP_MYTO_MAR_2026.pdf,4015977,PDF,"PDF header OK, %%EOF present",PASS,
EKEDP_MYTO_MAY_2026.pdf,nerc/electricity_myto/EKEDP_MYTO_MAY_2026.pdf,4476250,PDF,"PDF header OK, %%EOF present",PASS,
EKEDP_May_2025_047.pdf,nerc/electricity_myto/EKEDP_May_2025_047.pdf,6209582,PDF,"PDF header OK, %%EOF present",PASS,
EKEDP_NOV_2025_125.pdf,nerc/electricity_myto/EKEDP_NOV_2025_125.pdf,4378192,PDF,"PDF header OK, %%EOF present",PASS,
EKEDP_OCT_2025_111.pdf,nerc/electricity_myto/EKEDP_OCT_2025_111.pdf,7155627,PDF,"PDF header OK, %%EOF present",PASS,
EKEDP_SEPT_2025_098.pdf,nerc/electricity_myto/EKEDP_SEPT_2025_098.pdf,10778697,PDF,"PDF header OK, %%EOF present",PASS,
Eko-june-2025.pdf,nerc/electricity_myto/Eko-june-2025.pdf,958330,PDF,"PDF header OK, %%EOF present",PASS,
Enugu-june-2025.pdf,nerc/electricity_myto/Enugu-june-2025.pdf,661192,PDF,"PDF header OK, %%EOF present",PASS,
IBEDC-MYTO-APR-2025.pdf,nerc/electricity_myto/IBEDC-MYTO-APR-2025.pdf,887631,PDF,"PDF header OK, %%EOF present",PASS,
IBEDC-MYTO-JAN-2025.pdf,nerc/electricity_myto/IBEDC-MYTO-JAN-2025.pdf,12032670,PDF,"PDF header OK, %%EOF present",PASS,
IBEDC_AUG_2025_MYTO.pdf,nerc/electricity_myto/IBEDC_AUG_2025_MYTO.pdf,11420210,PDF,"PDF header OK, %%EOF present",PASS,
IBEDC_February-2025_007.pdf,nerc/electricity_myto/IBEDC_February-2025_007.pdf,2793627,PDF,"PDF header OK, %%EOF present",PASS,
IBEDC_July_2025_063.pdf,nerc/electricity_myto/IBEDC_July_2025_063.pdf,1383530,PDF,"PDF header OK, %%EOF present",PASS,
IBEDC_MYTO_APR_2026.pdf,nerc/electricity_myto/IBEDC_MYTO_APR_2026.pdf,12415694,PDF,"PDF header OK, %%EOF present",PASS,
IBEDC_MYTO_December_2025.pdf,nerc/electricity_myto/IBEDC_MYTO_December_2025.pdf,5553550,PDF,"PDF header OK, %%EOF present",PASS,
IBEDC_MYTO_FEB_2026.pdf,nerc/electricity_myto/IBEDC_MYTO_FEB_2026.pdf,12820278,PDF,"PDF header OK, %%EOF present",PASS,
IBEDC_MYTO_JAN_2026.pdf,nerc/electricity_myto/IBEDC_MYTO_JAN_2026.pdf,11376486,PDF,"PDF header OK, %%EOF present",PASS,
IBEDC_MYTO_MAR_2026.pdf,nerc/electricity_myto/IBEDC_MYTO_MAR_2026.pdf,12140306,PDF,"PDF header OK, %%EOF present",PASS,
IBEDC_MYTO_MAY_2026.pdf,nerc/electricity_myto/IBEDC_MYTO_MAY_2026.pdf,12195421,PDF,"PDF header OK, %%EOF present",PASS,
IBEDC_May_2025_049.pdf,nerc/electricity_myto/IBEDC_May_2025_049.pdf,6660442,PDF,"PDF header OK, %%EOF present",PASS,
IBEDC_NOV_2025_127.pdf,nerc/electricity_myto/IBEDC_NOV_2025_127.pdf,12195454,PDF,"PDF header OK, %%EOF present",PASS,
IBEDC_OCT_2025_113.pdf,nerc/electricity_myto/IBEDC_OCT_2025_113.pdf,12433590,PDF,"PDF header OK, %%EOF present",PASS,
IBEDC_SEPT_2025_100.pdf,nerc/electricity_myto/IBEDC_SEPT_2025_100.pdf,11897659,PDF,"PDF header OK, %%EOF present",PASS,
IE-MYTO-APR-2025.pdf,nerc/electricity_myto/IE-MYTO-APR-2025.pdf,1043114,PDF,"PDF header OK, %%EOF present",PASS,
IE-MYTO-JAN-2025.pdf,nerc/electricity_myto/IE-MYTO-JAN-2025.pdf,10954773,PDF,"PDF header OK, %%EOF present",PASS,
IE_AUG_2025_MYTO.pdf,nerc/electricity_myto/IE_AUG_2025_MYTO.pdf,10612928,PDF,"PDF header OK, %%EOF present",PASS,
IE_February-2025_008.pdf,nerc/electricity_myto/IE_February-2025_008.pdf,2706733,PDF,"PDF header OK, %%EOF present",PASS,
IE_July_2025_064.pdf,nerc/electricity_myto/IE_July_2025_064.pdf,1093662,PDF,"PDF header OK, %%EOF present",PASS,
IE_MYTO_APR_2026.pdf,nerc/electricity_myto/IE_MYTO_APR_2026.pdf,4438896,PDF,"PDF header OK, %%EOF present",PASS,
IE_MYTO_December_2025.pdf,nerc/electricity_myto/IE_MYTO_December_2025.pdf,5412502,PDF,"PDF header OK, %%EOF present",PASS,
IE_MYTO_FEB_2026.pdf,nerc/electricity_myto/IE_MYTO_FEB_2026.pdf,11835122,PDF,"PDF header OK, %%EOF present",PASS,
IE_MYTO_JAN_2026.pdf,nerc/electricity_myto/IE_MYTO_JAN_2026.pdf,10373829,PDF,"PDF header OK, %%EOF present",PASS,
IE_MYTO_MAR_2026.pdf,nerc/electricity_myto/IE_MYTO_MAR_2026.pdf,4409232,PDF,"PDF header OK, %%EOF present",PASS,
IE_MYTO_MAY_2026.pdf,nerc/electricity_myto/IE_MYTO_MAY_2026.pdf,4749903,PDF,"PDF header OK, %%EOF present",PASS,
IE_May_2025_050.pdf,nerc/electricity_myto/IE_May_2025_050.pdf,6182785,PDF,"PDF header OK, %%EOF present",PASS,
IE_NOV_2025_128.pdf,nerc/electricity_myto/IE_NOV_2025_128.pdf,5295547,PDF,"PDF header OK, %%EOF present",PASS,
IE_OCT_2025_114.pdf,nerc/electricity_myto/IE_OCT_2025_114.pdf,5626164,PDF,"PDF header OK, %%EOF present",PASS,
IE_SEPT_2025_101.pdf,nerc/electricity_myto/IE_SEPT_2025_101.pdf,11001398,PDF,"PDF header OK, %%EOF present",PASS,
Ibadan-June-2025.pdf,nerc/electricity_myto/Ibadan-June-2025.pdf,1045675,PDF,"PDF header OK, %%EOF present",PASS,
Ikeja-june-2025.pdf,nerc/electricity_myto/Ikeja-june-2025.pdf,944169,PDF,"PDF header OK, %%EOF present",PASS,
JED-MYTO-APR-2025.pdf,nerc/electricity_myto/JED-MYTO-APR-2025.pdf,657968,PDF,"PDF header OK, %%EOF present",PASS,
JED-MYTO-JAN-2025.pdf,nerc/electricity_myto/JED-MYTO-JAN-2025.pdf,5662462,PDF,"PDF header OK, %%EOF present",PASS,
JED_AUG_2025_MYTO.pdf,nerc/electricity_myto/JED_AUG_2025_MYTO.pdf,5653451,PDF,"PDF header OK, %%EOF present",PASS,
JED_February-2025_009.pdf,nerc/electricity_myto/JED_February-2025_009.pdf,2250456,PDF,"PDF header OK, %%EOF present",PASS,
JED_July_2025_065.pdf,nerc/electricity_myto/JED_July_2025_065.pdf,970572,PDF,"PDF header OK, %%EOF present",PASS,
JED_MYTO_APR_2026.pdf,nerc/electricity_myto/JED_MYTO_APR_2026.pdf,6457554,PDF,"PDF header OK, %%EOF present",PASS,
JED_MYTO_FEB_2026.pdf,nerc/electricity_myto/JED_MYTO_FEB_2026.pdf,6587824,PDF,"PDF header OK, %%EOF present",PASS,
JED_MYTO_JAN_2026.pdf,nerc/electricity_myto/JED_MYTO_JAN_2026.pdf,5767099,PDF,"PDF header OK, %%EOF present",PASS,
JED_MYTO_MAR_2026.pdf,nerc/electricity_myto/JED_MYTO_MAR_2026.pdf,6329376,PDF,"PDF header OK, %%EOF present",PASS,
JED_MYTO_MAY_2026.pdf,nerc/electricity_myto/JED_MYTO_MAY_2026.pdf,6304666,PDF,"PDF header OK, %%EOF present",PASS,
JED_May_2025_051.pdf,nerc/electricity_myto/JED_May_2025_051.pdf,2182281,PDF,"PDF header OK, %%EOF present",PASS,
JED_NOV_2025_129.pdf,nerc/electricity_myto/JED_NOV_2025_129.pdf,6503481,PDF,"PDF header OK, %%EOF present",PASS,
JED_OCT_2025_115.pdf,nerc/electricity_myto/JED_OCT_2025_115.pdf,10164367,PDF,"PDF header OK, %%EOF present",PASS,
JED_SEPT_2025_102.pdf,nerc/electricity_myto/JED_SEPT_2025_102.pdf,5886011,PDF,"PDF header OK, %%EOF present",PASS,
KAEDC-MYTO-APR-2025.pdf,nerc/electricity_myto/KAEDC-MYTO-APR-2025.pdf,632826,PDF,"PDF header OK, %%EOF present",PASS,
KAEDC-MYTO-JAN-2025.pdf,nerc/electricity_myto/KAEDC-MYTO-JAN-2025.pdf,2091683,PDF,"PDF header OK, %%EOF present",PASS,
KAEDC_AUG_2025_MYTO.pdf,nerc/electricity_myto/KAEDC_AUG_2025_MYTO.pdf,6063895,PDF,"PDF header OK, %%EOF present",PASS,
KAEDC_February-2025_010.pdf,nerc/electricity_myto/KAEDC_February-2025_010.pdf,2320386,PDF,"PDF header OK, %%EOF present",PASS,
KAEDC_July_2025_066.pdf,nerc/electricity_myto/KAEDC_July_2025_066.pdf,987873,PDF,"PDF header OK, %%EOF present",PASS,
KAEDC_MYTO_APR_2026.pdf,nerc/electricity_myto/KAEDC_MYTO_APR_2026.pdf,6694578,PDF,"PDF header OK, %%EOF present",PASS,
KAEDC_MYTO_December_2025.pdf,nerc/electricity_myto/KAEDC_MYTO_December_2025.pdf,6966463,PDF,"PDF header OK, %%EOF present",PASS,
KAEDC_MYTO_FEB_2026.pdf,nerc/electricity_myto/KAEDC_MYTO_FEB_2026.pdf,7664544,PDF,"PDF header OK, %%EOF present",PASS,
KAEDC_MYTO_JAN_2026.pdf,nerc/electricity_myto/KAEDC_MYTO_JAN_2026.pdf,6933518,PDF,"PDF header OK, %%EOF present",PASS,
KAEDC_MYTO_MAR_2026.pdf,nerc/electricity_myto/KAEDC_MYTO_MAR_2026.pdf,6528681,PDF,"PDF header OK, %%EOF present",PASS,
KAEDC_MYTO_MAY_2026.pdf,nerc/electricity_myto/KAEDC_MYTO_MAY_2026.pdf,6764624,PDF,"PDF header OK, %%EOF present",PASS,
KAEDC_May_2025_052.pdf,nerc/electricity_myto/KAEDC_May_2025_052.pdf,2665733,PDF,"PDF header OK, %%EOF present",PASS,
KAEDC_NOV_2025_130.pdf,nerc/electricity_myto/KAEDC_NOV_2025_130.pdf,6982205,PDF,"PDF header OK, %%EOF present",PASS,
KAEDC_OCT_2025_116.pdf,nerc/electricity_myto/KAEDC_OCT_2025_116.pdf,7574872,PDF,"PDF header OK, %%EOF present",PASS,
KAEDC_SEPT_2025_103.pdf,nerc/electricity_myto/KAEDC_SEPT_2025_103.pdf,6444247,PDF,"PDF header OK, %%EOF present",PASS,
KEDCO-MYTO-APR-2025.pdf,nerc/electricity_myto/KEDCO-MYTO-APR-2025.pdf,617905,PDF,"PDF header OK, %%EOF present",PASS,
KEDCO-MYTO-JAN-2025.pdf,nerc/electricity_myto/KEDCO-MYTO-JAN-2025.pdf,1923370,PDF,"PDF header OK, %%EOF present",PASS,
KEDCO_AUG_2025_MYTO.pdf,nerc/electricity_myto/KEDCO_AUG_2025_MYTO.pdf,6366566,PDF,"PDF header OK, %%EOF present",PASS,
KEDCO_February-2025_011.pdf,nerc/electricity_myto/KEDCO_February-2025_011.pdf,2373659,PDF,"PDF header OK, %%EOF present",PASS,
KEDCO_July_2025_067.pdf,nerc/electricity_myto/KEDCO_July_2025_067.pdf,983279,PDF,"PDF header OK, %%EOF present",PASS,
KEDCO_MYTO_APR_2026.pdf,nerc/electricity_myto/KEDCO_MYTO_APR_2026.pdf,7294539,PDF,"PDF header OK, %%EOF present",PASS,
KEDCO_MYTO_December_2025.pdf,nerc/electricity_myto/KEDCO_MYTO_December_2025.pdf,4622880,PDF,"PDF header OK, %%EOF present",PASS,
KEDCO_MYTO_FEB_2026.pdf,nerc/electricity_myto/KEDCO_MYTO_FEB_2026.pdf,8178975,PDF,"PDF header OK, %%EOF present",PASS,
KEDCO_MYTO_JAN_2026.pdf,nerc/electricity_myto/KEDCO_MYTO_JAN_2026.pdf,6554415,PDF,"PDF header OK, %%EOF present",PASS,
KEDCO_MYTO_MAR_2026.pdf,nerc/electricity_myto/KEDCO_MYTO_MAR_2026.pdf,7283020,PDF,"PDF header OK, %%EOF present",PASS,
KEDCO_MYTO_MAY_2026.pdf,nerc/electricity_myto/KEDCO_MYTO_MAY_2026.pdf,7114441,PDF,"PDF header OK, %%EOF present",PASS,
KEDCO_May_2025_053.pdf,nerc/electricity_myto/KEDCO_May_2025_053.pdf,2563094,PDF,"PDF header OK, %%EOF present",PASS,
KEDCO_NOV_2025_131.pdf,nerc/electricity_myto/KEDCO_NOV_2025_131.pdf,7182130,PDF,"PDF header OK, %%EOF present",PASS,
KEDCO_OCT_2025_117.pdf,nerc/electricity_myto/KEDCO_OCT_2025_117.pdf,8110845,PDF,"PDF header OK, %%EOF present",PASS,
KEDCO_SEPT_2025_104.pdf,nerc/electricity_myto/KEDCO_SEPT_2025_104.pdf,6562143,PDF,"PDF header OK, %%EOF present",PASS,
Kaduna-june-2025.pdf,nerc/electricity_myto/Kaduna-june-2025.pdf,633258,PDF,"PDF header OK, %%EOF present",PASS,
Kano-june-2025.pdf,nerc/electricity_myto/Kano-june-2025.pdf,633766,PDF,"PDF header OK, %%EOF present",PASS,
PHED-MYTO-APR-2025.pdf,nerc/electricity_myto/PHED-MYTO-APR-2025.pdf,653251,PDF,"PDF header OK, %%EOF present",PASS,
PHED-MYTO-JAN-2025.pdf,nerc/electricity_myto/PHED-MYTO-JAN-2025.pdf,2136962,PDF,"PDF header OK, %%EOF present",PASS,
PHED_AUG_2025_MYTO.pdf,nerc/electricity_myto/PHED_AUG_2025_MYTO.pdf,6894855,PDF,"PDF header OK, %%EOF present",PASS,
PHED_February-2025_012.pdf,nerc/electricity_myto/PHED_February-2025_012.pdf,2386776,PDF,"PDF header OK, %%EOF present",PASS,
PHED_July_2025_068.pdf,nerc/electricity_myto/PHED_July_2025_068.pdf,1009148,PDF,"PDF header OK, %%EOF present",PASS,
PHED_MYTO_APR_2026.pdf,nerc/electricity_myto/PHED_MYTO_APR_2026.pdf,8222050,PDF,"PDF header OK, %%EOF present",PASS,
PHED_MYTO_FEB_2026.pdf,nerc/electricity_myto/PHED_MYTO_FEB_2026.pdf,8725565,PDF,"PDF header OK, %%EOF present",PASS,
PHED_MYTO_JAN_2026.pdf,nerc/electricity_myto/PHED_MYTO_JAN_2026.pdf,7491552,PDF,"PDF header OK, %%EOF present",PASS,
PHED_MYTO_MAR_2026.pdf,nerc/electricity_myto/PHED_MYTO_MAR_2026.pdf,7997895,PDF,"PDF header OK, %%EOF present",PASS,
PHED_MYTO_MAY_2026.pdf,nerc/electricity_myto/PHED_MYTO_MAY_2026.pdf,8114986,PDF,"PDF header OK, %%EOF present",PASS,
PHED_May_2025_054.pdf,nerc/electricity_myto/PHED_May_2025_054.pdf,3411489,PDF,"PDF header OK, %%EOF present",PASS,
PHED_NOV_2025_132.pdf,nerc/electricity_myto/PHED_NOV_2025_132.pdf,8268250,PDF,"PDF header OK, %%EOF present",PASS,
PHED_OCT_2025_118.pdf,nerc/electricity_myto/PHED_OCT_2025_118.pdf,12199266,PDF,"PDF header OK, %%EOF present",PASS,
PHED__SEPT_2025_105.pdf,nerc/electricity_myto/PHED__SEPT_2025_105.pdf,7211180,PDF,"PDF header OK, %%EOF present",PASS,
Portharcourt-june-2025.pdf,nerc/electricity_myto/Portharcourt-june-2025.pdf,705703,PDF,"PDF header OK, %%EOF present",PASS,
YEDC-MYTO-APR-2025.pdf,nerc/electricity_myto/YEDC-MYTO-APR-2025.pdf,543438,PDF,"PDF header OK, %%EOF present",PASS,
YEDC-MYTO-JAN-2025.pdf,nerc/electricity_myto/YEDC-MYTO-JAN-2025.pdf,1902877,PDF,"PDF header OK, %%EOF present",PASS,
YEDC_AUG_2025_MYTO.pdf,nerc/electricity_myto/YEDC_AUG_2025_MYTO.pdf,5165731,PDF,"PDF header OK, %%EOF present",PASS,
YEDC_February-2025_013.pdf,nerc/electricity_myto/YEDC_February-2025_013.pdf,2093733,PDF,"PDF header OK, %%EOF present",PASS,
YEDC_July_2025_069.pdf,nerc/electricity_myto/YEDC_July_2025_069.pdf,952777,PDF,"PDF header OK, %%EOF present",PASS,
YEDC_MYTO_APR_2026.pdf,nerc/electricity_myto/YEDC_MYTO_APR_2026.pdf,6107647,PDF,"PDF header OK, %%EOF present",PASS,
YEDC_MYTO_December_2025.pdf,nerc/electricity_myto/YEDC_MYTO_December_2025.pdf,6045168,PDF,"PDF header OK, %%EOF present",PASS,
YEDC_MYTO_FEB_2026.pdf,nerc/electricity_myto/YEDC_MYTO_FEB_2026.pdf,6546809,PDF,"PDF header OK, %%EOF present",PASS,
YEDC_MYTO_JAN_2026.pdf,nerc/electricity_myto/YEDC_MYTO_JAN_2026.pdf,5894658,PDF,"PDF header OK, %%EOF present",PASS,
YEDC_MYTO_MAR_2026.pdf,nerc/electricity_myto/YEDC_MYTO_MAR_2026.pdf,5948939,PDF,"PDF header OK, %%EOF present",PASS,
YEDC_MYTO_MAY_2026.pdf,nerc/electricity_myto/YEDC_MYTO_MAY_2026.pdf,6031290,PDF,"PDF header OK, %%EOF present",PASS,
YEDC_May_2025_055.pdf,nerc/electricity_myto/YEDC_May_2025_055.pdf,1837480,PDF,"PDF header OK, %%EOF present",PASS,
YEDC_NOV_2025_133.pdf,nerc/electricity_myto/YEDC_NOV_2025_133.pdf,6071212,PDF,"PDF header OK, %%EOF present",PASS,
YEDC_OCT_2025_119.pdf,nerc/electricity_myto/YEDC_OCT_2025_119.pdf,9533477,PDF,"PDF header OK, %%EOF present",PASS,
YEDC_SEPT_2025_106.pdf,nerc/electricity_myto/YEDC_SEPT_2025_106.pdf,5162592,PDF,"PDF header OK, %%EOF present",PASS,
Yola-june-2025.pdf,nerc/electricity_myto/Yola-june-2025.pdf,805662,PDF,"PDF header OK, %%EOF present",PASS,
PROVENANCE_READ_ME.txt,cbn/exchange_rate/PROVENANCE_READ_ME.txt,5499,TXT,"text readable, 5499 bytes",PASS,
cbn_ExchRateByCurrency_page_snapshot_20260913T120305Z.html,cbn/exchange_rate/cbn_ExchRateByCurrency_page_snapshot_20260913T120305Z.html,14173,HTML,"text readable, 14173 bytes",PASS,
cbn_api_GetAllNFEM_Rates_snapshot_20260913T120305Z.json,cbn/exchange_rate/cbn_api_GetAllNFEM_Rates_snapshot_20260913T120305Z.json,124093,JSON,JSON parsed OK (read-only),PASS,
cbn_nfem_rates_2025-01-01_to_2026-05-31_EXTRACTED-FROM-CBN-WEBPAGE.csv,cbn/exchange_rate/cbn_nfem_rates_2025-01-01_to_2026-05-31_EXTRACTED-FROM-CBN-WEBPAGE.csv,26890,CSV,"CSV readable, 353 lines incl. header",PASS,
cbn_rates_script1_20260913T120305Z.js,cbn/exchange_rate/cbn_rates_script1_20260913T120305Z.js,3221,JS,"text readable, 3221 bytes",PASS,
