source_organisation,dataset,period_start,period_end,release_title,original_filename,file_type,official_source_url,download_url,download_status,contains_excel,contains_pdf,months_covered,notes
NBS,NBS Selected Food Price Watch,2026-03,2026-03,Selected Food Price Watch March 2026,Selected_Food_Report_Mar_2026.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1401,DOWNLOADED,YES,YES,2026-03,archive members: Selected_Food_Report_Mar_2026.pdf | selected food table Mar26.xlsx
NBS,NBS Selected Food Price Watch,2026-04,2026-04,Selected Food Price Watch April 2026,Selected_Food_Report_April_2026.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1415,DOWNLOADED,YES,YES,2026-04,archive members: Selected_Food_Report_April_2026.pdf | selected food table Apr26.xlsx
NBS,NBS Selected Food Price Watch,2026-05,2026-05,Selected Food Price Watch May 2026,Selected_Food_Report_May 26.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/162/download/1427,DOWNLOADED,YES,YES,2026-05,archive members: Selected_Food_Report_May 26.pdf | selected food table May 26.xlsx
NBS,NBS PMS (Petrol) Price Watch,2025-01,2025-01,PMS Report January 2025,PMS_Report_JAN_2025.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1163,DOWNLOADED,NO,YES,2025-01,
NBS,NBS PMS (Petrol) Price Watch,2025-01,2025-01,PMS January 2025 Tables,PMS_Jan_2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1164,DOWNLOADED,YES,NO,2025-01,
NBS,NBS PMS (Petrol) Price Watch,2025-02,2025-02,PMS Report February 2025,PMS_Report_FEB_2025.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1165,DOWNLOADED,NO,YES,2025-02,
NBS,NBS PMS (Petrol) Price Watch,2025-02,2025-02,PMS February 2025 Tables,PMS_FEB_2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1166,DOWNLOADED,YES,NO,2025-02,
NBS,NBS PMS (Petrol) Price Watch,2025-03,2025-03,PMS Report March 2025,PMS_Report_March_2025.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1202,DOWNLOADED,NO,YES,2025-03,
NBS,NBS PMS (Petrol) Price Watch,2025-03,2025-03,PMS March 2025 Tables,PMS Report March 2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1203,DOWNLOADED,YES,NO,2025-03,
NBS,NBS PMS (Petrol) Price Watch,2025-04,2025-04,PMS Report April 2025,PMS_Report_April_2025.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1214,DOWNLOADED,NO,YES,2025-04,
NBS,NBS PMS (Petrol) Price Watch,2025-04,2025-04,PMS April 2025 Tables,Fuel_Report_April_2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1215,DOWNLOADED,YES,NO,2025-04,
NBS,NBS PMS (Petrol) Price Watch,2025-05,2025-05,PMS Report May 2025,PMS_Report_MAY_2025.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1247,DOWNLOADED,NO,YES,2025-05,
NBS,NBS PMS (Petrol) Price Watch,2025-05,2025-05,PMS May 2025 Tables,Fuel_Report_May_2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1246,DOWNLOADED,YES,NO,2025-05,
