metric_code,label,from_month,to_month,states,states_up,min_pct,median_pct,max_pct
DIESEL_PRICE_NGN_PER_LITRE,Diesel (NGN/l),2025-09-01,2026-05-01,37,37,115.1113,158.1588,192.3088
PETROL_PRICE_NGN_PER_LITRE,Petrol (NGN/l),2025-09-01,2026-05-01,37,37,45.5289,65.3497,87.0882
TRANSPORT_OKADA_NGN_PER_JOURNEY,Okada (NGN),2025-09-01,2026-05-01,37,37,16.8809,42.5087,127.3066
TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,Bus intracity (NGN),2025-09-01,2026-05-01,37,37,10.2134,36.9727,84.4093
TRANSPORT_WATER_NGN_PER_JOURNEY,Water transport (NGN),2025-09-01,2026-05-01,37,37,10.054,26.304,80.2325
TRANSPORT_BUS_INTERCITY_NGN_PER_JOURNEY,Bus intercity (NGN),2025-09-01,2026-05-01,37,34,-7.7984,22.0507,52.7286
TRANSPORT_AIR_NGN_PER_JOURNEY,Air (NGN),2025-09-01,2026-05-01,37,37,9.1265,18.6879,46.2606
