metric_a,DIESEL_PRICE_NGN_PER_LITRE,LPG_REFILL_12_5KG_NGN,LPG_REFILL_5KG_NGN,PETROL_PRICE_NGN_PER_LITRE,TRANSPORT_AIR_NGN_PER_JOURNEY,TRANSPORT_BUS_INTERCITY_NGN_PER_JOURNEY,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,TRANSPORT_OKADA_NGN_PER_JOURNEY,TRANSPORT_WATER_NGN_PER_JOURNEY
DIESEL_PRICE_NGN_PER_LITRE,1.0,-0.2186,-0.2217,0.2928,-0.2229,0.059,-0.2994,0.1501,-0.033
LPG_REFILL_12_5KG_NGN,-0.2186,1.0,0.7205,-0.1923,0.1949,-0.0183,-0.1171,-0.1972,0.2648
LPG_REFILL_5KG_NGN,-0.2217,0.7205,1.0,-0.3364,0.1444,-0.0173,0.1605,0.0059,0.1257
PETROL_PRICE_NGN_PER_LITRE,0.2928,-0.1923,-0.3364,1.0,-0.1119,-0.2911,-0.0325,-0.0055,0.0692
TRANSPORT_AIR_NGN_PER_JOURNEY,-0.2229,0.1949,0.1444,-0.1119,1.0,-0.1918,0.1773,-0.0458,-0.1119
TRANSPORT_BUS_INTERCITY_NGN_PER_JOURNEY,0.059,-0.0183,-0.0173,-0.2911,-0.1918,1.0,-0.0436,0.0576,0.1885
TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,-0.2994,-0.1171,0.1605,-0.0325,0.1773,-0.0436,1.0,0.1939,0.1335
TRANSPORT_OKADA_NGN_PER_JOURNEY,0.1501,-0.1972,0.0059,-0.0055,-0.0458,0.0576,0.1939,1.0,0.0085
TRANSPORT_WATER_NGN_PER_JOURNEY,-0.033,0.2648,0.1257,0.0692,-0.1119,0.1885,0.1335,0.0085,1.0
