metric_code,mean_abs_mom_pct,mean_cv_pct,move_to_spread_ratio,rank_safe,label
DIESEL_PRICE_NGN_PER_LITRE,10.8267,9.719,1.114,False,Diesel (NGN/l)
LPG_REFILL_12_5KG_NGN,10.9688,5.308,2.0665,False,LPG 12.5kg refill (NGN)
LPG_REFILL_5KG_NGN,11.7628,5.5555,2.1173,False,LPG 5kg refill (NGN)
PETROL_PRICE_NGN_PER_LITRE,7.2457,6.1416,1.1798,False,Petrol (NGN/l)
TRANSPORT_AIR_NGN_PER_JOURNEY,9.3723,6.6423,1.411,False,Air (NGN)
TRANSPORT_BUS_INTERCITY_NGN_PER_JOURNEY,3.0803,11.6361,0.2647,True,Bus intercity (NGN)
TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,4.2454,17.5109,0.2424,True,Bus intracity (NGN)
TRANSPORT_OKADA_NGN_PER_JOURNEY,4.8192,18.7839,0.2566,True,Okada (NGN)
TRANSPORT_WATER_NGN_PER_JOURNEY,2.9497,67.7982,0.0435,True,Water transport (NGN)
