metric_code,persistently_high,stable,label
DIESEL_PRICE_NGN_PER_LITRE,0,False,Diesel (NGN/l)
LPG_REFILL_12_5KG_NGN,0,False,LPG 12.5kg refill (NGN)
LPG_REFILL_5KG_NGN,1,False,LPG 5kg refill (NGN)
PETROL_PRICE_NGN_PER_LITRE,1,False,Petrol (NGN/l)
TRANSPORT_AIR_NGN_PER_JOURNEY,3,False,Air (NGN)
TRANSPORT_BUS_INTERCITY_NGN_PER_JOURNEY,7,True,Bus intercity (NGN)
TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,7,True,Bus intracity (NGN)
TRANSPORT_OKADA_NGN_PER_JOURNEY,7,True,Okada (NGN)
TRANSPORT_WATER_NGN_PER_JOURNEY,9,True,Water transport (NGN)
