metric_code,p_high_given_high,p_high_given_not,base_rate_high,stickiness_pp,label,rank_safe
DIESEL_PRICE_NGN_PER_LITRE,0.6739,0.1211,0.2683,55.286,Diesel (NGN/l),False
LPG_REFILL_12_5KG_NGN,0.5929,0.1508,0.2703,44.2063,LPG 12.5kg refill (NGN),False
LPG_REFILL_5KG_NGN,0.6,0.1481,0.2703,45.1852,LPG 5kg refill (NGN),False
PETROL_PRICE_NGN_PER_LITRE,0.5714,0.1587,0.2703,41.2698,Petrol (NGN/l),False
TRANSPORT_AIR_NGN_PER_JOURNEY,0.85,0.0556,0.2703,79.4444,Air (NGN),False
TRANSPORT_BUS_INTERCITY_NGN_PER_JOURNEY,0.9071,0.0344,0.2703,87.2751,Bus intercity (NGN),True
TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,0.8571,0.0529,0.2703,80.4233,Bus intracity (NGN),True
TRANSPORT_OKADA_NGN_PER_JOURNEY,0.8777,0.0449,0.2683,83.2843,Okada (NGN),True
TRANSPORT_WATER_NGN_PER_JOURNEY,0.9571,0.0159,0.2703,94.127,Water transport (NGN),True
