release_month,observation_month,geography_type,geography_name,geography_raw_label,state,zone,is_aggregate,price_ngn_per_litre,unit,source_period_label,is_primary_release,source_anomaly,header_row_used,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2025-01-01,2024-01-01,STATE,Delta,Delta,Delta,South South,FALSE,665.625,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,12,2,B12
2025-01-01,2024-01-01,STATE,Ebonyi,Ebonyi,Ebonyi,South East,FALSE,638.714285714286,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,13,2,B13
2025-01-01,2024-01-01,STATE,Edo,Edo,Edo,South South,FALSE,662,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,14,2,B14
2025-01-01,2024-01-01,STATE,Ekiti,Ekiti,Ekiti,South West,FALSE,651.331269349845,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,15,2,B15
2025-01-01,2024-01-01,STATE,Enugu,Enugu,Enugu,South East,FALSE,673.872180451128,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,16,2,B16
2025-01-01,2024-01-01,STATE,Gombe,Gombe,Gombe,North East,FALSE,703,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,17,2,B17
2025-01-01,2024-01-01,STATE,Imo,Imo,Imo,South East,FALSE,687,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,18,2,B18
2025-01-01,2024-01-01,STATE,Jigawa,Jigawa,Jigawa,North West,FALSE,679.666666666667,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,19,2,B19
2025-01-01,2024-01-01,STATE,Kaduna,Kaduna,Kaduna,North West,FALSE,640,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,20,2,B20
2025-01-01,2024-01-01,STATE,Kano,Kano,Kano,North West,FALSE,678.266666666667,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,21,2,B21
2025-01-01,2024-01-01,STATE,Katsina,Katsina,Katsina,North West,FALSE,680.4,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,22,2,B22
2025-01-01,2024-01-01,STATE,Kebbi,Kebbi,Kebbi,North West,FALSE,796.666666666667,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,23,2,B23
2025-01-01,2024-01-01,STATE,Kogi,Kogi,Kogi,North Central,FALSE,626.787037037037,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,24,2,B24
2025-01-01,2024-01-01,STATE,Kwara,Kwara,Kwara,North Central,FALSE,614.90085978836,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,25,2,B25
2025-01-01,2024-01-01,STATE,Lagos,Lagos,Lagos,South West,FALSE,663.049535603715,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,26,2,B26
2025-01-01,2024-01-01,STATE,Nasarawa,Nassarawa,Nasarawa,North Central,FALSE,629.319444444444,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,27,2,B27
2025-01-01,2024-01-01,STATE,Niger,Niger,Niger,North Central,FALSE,624.038425925926,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,28,2,B28
2025-01-01,2024-01-01,STATE,Ogun,Ogun,Ogun,South West,FALSE,653.105263157895,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,29,2,B29
2025-01-01,2024-01-01,STATE,Ondo,Ondo,Ondo,South West,FALSE,653.018575851393,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,30,2,B30
2025-01-01,2024-01-01,STATE,Osun,Osun,Osun,South West,FALSE,658.771929824561,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,31,2,B31
2025-01-01,2024-01-01,STATE,Oyo,Oyo,Oyo,South West,FALSE,662.532894736842,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,32,2,B32
2025-01-01,2024-01-01,STATE,Plateau,Plateau,Plateau,North Central,FALSE,670,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,33,2,B33
2025-01-01,2024-01-01,STATE,Rivers,Rivers,Rivers,South South,FALSE,674.545454545455,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,34,2,B34
2025-01-01,2024-01-01,STATE,Sokoto,Sokoto,Sokoto,North West,FALSE,664.8,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,35,2,B35
2025-01-01,2024-01-01,STATE,Taraba,Taraba,Taraba,North East,FALSE,704.111111111111,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,36,2,B36
2025-01-01,2024-01-01,STATE,Yobe,Yobe,Yobe,North East,FALSE,675.545454545455,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,37,2,B37
2025-01-01,2024-01-01,STATE,Zamfara,Zamfara,Zamfara,North West,FALSE,771.428571428571,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,38,2,B38
2025-01-01,2024-01-01,NATIONAL,Nigeria,AVERAGE,,,TRUE,668.296550683408,NGN per litre,2024-01-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,39,2,B39
2025-01-01,2024-12-01,STATE,Abia,Abia,Abia,South East,FALSE,1224.671875,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,2,3,C2
2025-01-01,2024-12-01,STATE,Abuja,Abuja,Abuja,North Central,FALSE,1102.25,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,3,3,C3
2025-01-01,2024-12-01,STATE,Adamawa,Adamawa,Adamawa,North East,FALSE,1301.33333333333,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,4,3,C4
2025-01-01,2024-12-01,STATE,Akwa Ibom,Akwa Ibom,Akwa Ibom,South South,FALSE,1146.9375,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,5,3,C5
2025-01-01,2024-12-01,STATE,Anambra,Anambra,Anambra,South East,FALSE,1238.76113552517,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,6,3,C6
2025-01-01,2024-12-01,STATE,Bauchi,Bauchi,Bauchi,North East,FALSE,1183.47727272727,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,7,3,C7
2025-01-01,2024-12-01,STATE,Bayelsa,Bayelsa,Bayelsa,South South,FALSE,1161.875,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,8,3,C8
2025-01-01,2024-12-01,STATE,Benue,Benue,Benue,North Central,FALSE,1234.54545454545,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,9,3,C9
2025-01-01,2024-12-01,STATE,Borno,Borno,Borno,North East,FALSE,1282.38461538462,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,10,3,C10
2025-01-01,2024-12-01,STATE,Cross River,Cross River,Cross River,South South,FALSE,1228.1875,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,11,3,C11
2025-01-01,2024-12-01,STATE,Delta,Delta,Delta,South South,FALSE,1282.71428571429,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,12,3,C12
2025-01-01,2024-12-01,STATE,Ebonyi,Ebonyi,Ebonyi,South East,FALSE,1280.41359165737,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,13,3,C13
2025-01-01,2024-12-01,STATE,Edo,Edo,Edo,South South,FALSE,1142.4,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,14,3,C14
2025-01-01,2024-12-01,STATE,Ekiti,Ekiti,Ekiti,South West,FALSE,1120,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,15,3,C15
2025-01-01,2024-12-01,STATE,Enugu,Enugu,Enugu,South East,FALSE,1278.46665445964,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,16,3,C16
2025-01-01,2024-12-01,STATE,Gombe,Gombe,Gombe,North East,FALSE,1176.125,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,17,3,C17
2025-01-01,2024-12-01,STATE,Imo,Imo,Imo,South East,FALSE,1198.8891015625,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,18,3,C18
2025-01-01,2024-12-01,STATE,Jigawa,Jigawa,Jigawa,North West,FALSE,1258.46153846154,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,19,3,C19
2025-01-01,2024-12-01,STATE,Kaduna,Kaduna,Kaduna,North West,FALSE,1161.2,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,20,3,C20
2025-01-01,2024-12-01,STATE,Kano,Kano,Kano,North West,FALSE,1152.14285714286,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,21,3,C21
2025-01-01,2024-12-01,STATE,Katsina,Katsina,Katsina,North West,FALSE,1187.5,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,22,3,C22
2025-01-01,2024-12-01,STATE,Kebbi,Kebbi,Kebbi,North West,FALSE,1194,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,23,3,C23
2025-01-01,2024-12-01,STATE,Kogi,Kogi,Kogi,North Central,FALSE,1188.18181818182,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,24,3,C24
2025-01-01,2024-12-01,STATE,Kwara,Kwara,Kwara,North Central,FALSE,1133.07692307692,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,25,3,C25
2025-01-01,2024-12-01,STATE,Lagos,Lagos,Lagos,South West,FALSE,1106.33333333333,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,26,3,C26
2025-01-01,2024-12-01,STATE,Nasarawa,Nassarawa,Nasarawa,North Central,FALSE,1157.14285714286,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,27,3,C27
2025-01-01,2024-12-01,STATE,Niger,Niger,Niger,North Central,FALSE,1176.07142857143,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,28,3,C28
2025-01-01,2024-12-01,STATE,Ogun,Ogun,Ogun,South West,FALSE,1106.06666666667,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,29,3,C29
2025-01-01,2024-12-01,STATE,Ondo,Ondo,Ondo,South West,FALSE,1137.77777777778,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,30,3,C30
2025-01-01,2024-12-01,STATE,Osun,Osun,Osun,South West,FALSE,1137.05882352941,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,31,3,C31
2025-01-01,2024-12-01,STATE,Oyo,Oyo,Oyo,South West,FALSE,1088.75,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,32,3,C32
2025-01-01,2024-12-01,STATE,Plateau,Plateau,Plateau,North Central,FALSE,1260,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,33,3,C33
2025-01-01,2024-12-01,STATE,Rivers,Rivers,Rivers,South South,FALSE,1164.90625,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,34,3,C34
2025-01-01,2024-12-01,STATE,Sokoto,Sokoto,Sokoto,North West,FALSE,1113.33333333333,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,35,3,C35
2025-01-01,2024-12-01,STATE,Taraba,Taraba,Taraba,North East,FALSE,1307.04987182617,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,36,3,C36
2025-01-01,2024-12-01,STATE,Yobe,Yobe,Yobe,North East,FALSE,1225,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,37,3,C37
2025-01-01,2024-12-01,STATE,Zamfara,Zamfara,Zamfara,North West,FALSE,1160,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,38,3,C38
2025-01-01,2024-12-01,NATIONAL,Nigeria,AVERAGE,,,TRUE,1189.12123780956,NGN per litre,2024-12-01,FALSE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,39,3,C39
2025-01-01,2025-01-01,STATE,Abia,Abia,Abia,South East,FALSE,1308.2604734,NGN per litre,2025-01-01,TRUE,,1,PMS_Jan_2025.xlsx,,Fuel January 2025,2,4,D2
